,time,location,x,y
2669,4366713,Loc10,505.045,205.99200000000002
2689,4399889,Loc10,504.934,205.85
2709,4433612,Loc10,504.39,205.861
2729,4466850,Loc10,504.02,205.986
2749,4500436,Loc10,503.38300000000004,206.05599999999998
2769,4533178,Loc10,502.905,206.155
2789,4567101,Loc10,502.384,206.10299999999998
2809,4600187,Loc10,501.769,206.095
2829,4633175,Loc10,501.24,206.075
2849,4666897,Loc10,500.653,206.15099999999998
2869,4700060,Loc10,500.34,206.157
2889,4733171,Loc10,499.631,206.16299999999998
2909,4767164,Loc10,499.077,206.02200000000002
2929,4799991,Loc10,498.852,205.89
2949,4833202,Loc10,498.48199999999997,205.75900000000001
2969,4866971,Loc10,498.154,205.69299999999998
2989,4900261,Loc10,497.901,205.618
3009,4933157,Loc10,497.749,205.551
3029,4966539,Loc10,497.556,205.59400000000002
3049,5000276,Loc10,497.42400000000004,205.514
3069,5034449,Loc10,497.233,205.46099999999998
3089,5066753,Loc10,497.142,205.412
3109,5100191,Loc10,497.10400000000004,205.4
3129,5133985,Loc10,497.02099999999996,205.37
3149,5166490,Loc10,496.972,205.352
3169,5200115,Loc10,496.944,205.34599999999998
3189,5233725,Loc10,496.967,205.324
3209,5266486,Loc10,496.966,205.27
3229,5300234,Loc10,496.908,205.229
3249,5333129,Loc10,496.76099999999997,205.149
3269,5366674,Loc10,496.526,205.078
3289,5399760,Loc10,496.082,205.051
3309,5433123,Loc10,495.374,205.053
3329,5466920,Loc10,494.62300000000005,204.891
3349,5499885,Loc10,493.87199999999996,204.77700000000002
3369,5533155,Loc10,493.001,204.71200000000002
3389,5566870,Loc10,492.39300000000003,204.66299999999998
3409,5600473,Loc10,492.124,204.505
3429,5633157,Loc10,491.37,204.07299999999998
3449,5666879,Loc10,490.87699999999995,203.91400000000002
3469,5700514,Loc10,490.30199999999996,203.69299999999998
3489,5733095,Loc10,489.69599999999997,203.562
3509,5766709,Loc10,489.038,203.481
3529,5799808,Loc10,488.675,203.417
3549,5833372,Loc10,488.23800000000006,202.99
3569,5867132,Loc10,487.635,202.597
3589,5900159,Loc10,487.176,202.31599999999997
3609,5933380,Loc10,486.733,202.012
3629,5966419,Loc10,486.47900000000004,201.92
3649,6000449,Loc10,486.32099999999997,201.722
3669,6033457,Loc10,486.30199999999996,201.706
3689,6067147,Loc10,486.244,201.662
3709,6100126,Loc10,486.09,201.451
3729,6133143,Loc10,485.964,201.141
3749,6166736,Loc10,485.848,200.821
3769,6200088,Loc10,485.671,200.50400000000002
3789,6233156,Loc10,485.54400000000004,200.24099999999999
3809,6267423,Loc10,485.469,200.138
3829,6300660,Loc10,485.272,200.00099999999998
3849,6333200,Loc10,484.92,199.77
3869,6366944,Loc10,484.50300000000004,199.74099999999999
3889,6399948,Loc10,484.171,199.595
3909,6433330,Loc10,483.879,199.48
3929,6466818,Loc10,483.629,199.255
3949,6499827,Loc10,483.414,199.08599999999998
3969,6533367,Loc10,483.31699999999995,199.05700000000002
3989,6566541,Loc10,483.02,198.99400000000003
4009,6600255,Loc10,482.918,198.96200000000002
4029,6633512,Loc10,482.616,198.80200000000002
4049,6667364,Loc10,482.361,198.666
4069,6699827,Loc10,481.98699999999997,198.53
4089,6733553,Loc10,481.711,198.403
4109,6766658,Loc10,481.185,198.055
4129,6799867,Loc10,480.634,197.766
4149,6833417,Loc10,480.165,197.41299999999998
4169,6866655,Loc10,479.534,196.953
4189,6900433,Loc10,478.963,196.49400000000003
4209,6933952,Loc10,478.506,196.28599999999997
4229,6967145,Loc10,478.168,196.09
4249,7000074,Loc10,477.494,195.74200000000002
4269,7033218,Loc10,476.844,195.416
4289,7066545,Loc10,475.792,195.109
4309,7100719,Loc10,474.723,194.385
4329,7133203,Loc10,473.781,194.225
4349,7166843,Loc10,473.156,193.708
4369,7200324,Loc10,472.333,193.352
4389,7233119,Loc10,471.918,193.014
4409,7266576,Loc10,471.51,192.65599999999998
4429,7299839,Loc10,471.167,192.263
4449,7333508,Loc10,470.76300000000003,191.863
4469,7366561,Loc10,470.51199999999994,191.52
4489,7399831,Loc10,470.227,191.19400000000002
4509,7433166,Loc10,470.173,190.863
4529,7466694,Loc10,470.12699999999995,190.69299999999998
4549,7500212,Loc10,470.142,190.453
4569,7533830,Loc10,470.12300000000005,190.31400000000002
4589,7567141,Loc10,470.00800000000004,190.106
4609,7599919,Loc10,469.92800000000005,189.763
4629,7633983,Loc10,469.76300000000003,189.195
4649,7666970,Loc10,469.49800000000005,188.986
4669,7700186,Loc10,469.329,188.36
4689,7733214,Loc10,468.918,187.757
4709,7766904,Loc10,468.51300000000003,187.136
4729,7799788,Loc10,468.29,186.77900000000002
4749,7833225,Loc10,467.834,186.153
4769,7867303,Loc10,467.414,185.486
4789,7900410,Loc10,467.95599999999996,184.455
4809,7933173,Loc10,468.333,183.695
4829,7967310,Loc10,467.99800000000005,182.834
4849,8000592,Loc10,467.76599999999996,182.334
4869,8033974,Loc10,467.45099999999996,181.75
4889,8066738,Loc10,466.496,180.893
4909,8099902,Loc10,465.776,180.237
4929,8133594,Loc10,464.983,179.708
4949,8166509,Loc10,463.964,179.03599999999997
4969,8199891,Loc10,463.324,178.544
4989,8233219,Loc10,462.681,178.08700000000002
5009,8266506,Loc10,462.214,177.37599999999998
5029,8299908,Loc10,461.971,176.50900000000001
5049,8333181,Loc10,461.92400000000004,176.092
5069,8366582,Loc10,461.87699999999995,175.62400000000002
5089,8400091,Loc10,461.749,175.22799999999998
5109,8433153,Loc10,461.76599999999996,174.889
5129,8466934,Loc10,461.81699999999995,174.683
5149,8499897,Loc10,461.69300000000004,174.428
5169,8533188,Loc10,461.671,174.428
5189,8566530,Loc10,461.56800000000004,174.122
5209,8600294,Loc10,461.64300000000003,173.99400000000003
5229,8633193,Loc10,461.65,173.93
5249,8666926,Loc10,461.466,173.426
5269,8700506,Loc10,461.37800000000004,173.157
5289,8733628,Loc10,461.334,172.935
5309,8766516,Loc10,461.204,172.581
5329,8800270,Loc10,461.301,172.45
5349,8833689,Loc10,461.222,172.36
5369,8867272,Loc10,461.35699999999997,172.206
5389,8900280,Loc10,461.343,172.15099999999998
5409,8933456,Loc10,461.37699999999995,172.09599999999998
5429,8966458,Loc10,461.325,172.03
5449,9000548,Loc10,461.376,171.921
5469,9033196,Loc10,461.414,171.699
5489,9066949,Loc10,461.394,171.595
5509,9099907,Loc10,461.35699999999997,171.523
5529,9133191,Loc10,461.212,171.395
5549,9166804,Loc10,461.086,171.032
5569,9200238,Loc10,460.965,170.645
5589,9234007,Loc10,460.88699999999994,169.66
5609,9267334,Loc10,460.972,169.00599999999997
5629,9299934,Loc10,461.05199999999996,167.976
5649,9333152,Loc10,460.952,166.687
5669,9366896,Loc10,460.825,165.898
5689,9400469,Loc10,460.533,165.18900000000002
5709,9433157,Loc10,460.23699999999997,164.356
5729,9466885,Loc10,460.251,163.202
5749,9500379,Loc10,460.281,162.025
5769,9533847,Loc10,460.531,161.102
5789,9566583,Loc10,460.542,160.343
5809,9600224,Loc10,460.49,159.556
5829,9634087,Loc10,460.463,158.892
5849,9667257,Loc10,460.52,158.352
5869,9699926,Loc10,460.514,157.84
5889,9733528,Loc10,460.44800000000004,156.904
5909,9766531,Loc10,460.79900000000004,156.267
5929,9799986,Loc10,460.885,155.608
5949,9833260,Loc10,461.19800000000004,154.536
5969,9867377,Loc10,461.33099999999996,153.749
5989,9899922,Loc10,461.483,152.349
6009,9933254,Loc10,461.335,151.371
6029,9966607,Loc10,461.371,150.387
6049,10000201,Loc10,461.332,149.572
6069,10033201,Loc10,461.27,148.66
6089,10066875,Loc10,461.559,148.26
6109,10100404,Loc10,461.829,147.738
6129,10133207,Loc10,462.077,147.135
6149,10166838,Loc10,462.26599999999996,146.656
6169,10200193,Loc10,462.82199999999995,146.282
6189,10233613,Loc10,463.222,145.93200000000002
6209,10266523,Loc10,463.46,145.855
6229,10300291,Loc10,463.605,145.887
6249,10333776,Loc10,463.756,145.953
6269,10366906,Loc10,463.964,145.907
6289,10399922,Loc10,464.235,145.504
6309,10433700,Loc10,464.48,144.717
6329,10466604,Loc10,464.849,144.011
6349,10500260,Loc10,465.083,143.457
6369,10533723,Loc10,465.477,142.46200000000002
6389,10567170,Loc10,465.912,141.674
6409,10599906,Loc10,466.105,141.005
6429,10634059,Loc10,466.418,140.371
6449,10666973,Loc10,466.598,139.863
6469,10700235,Loc10,466.895,139.53799999999998
6489,10733228,Loc10,467.47,138.645
6509,10766937,Loc10,468.25,137.957
6529,10800373,Loc10,468.816,137.371
6549,10833275,Loc10,469.694,136.886
6569,10866664,Loc10,470.496,136.023
6589,10900282,Loc10,470.97,135.154
6609,10933159,Loc10,471.619,134.06799999999998
6629,10966555,Loc10,472.167,133.58100000000002
6649,10999902,Loc10,472.68800000000005,132.95600000000002
6669,11033617,Loc10,472.99199999999996,132.281
6689,11066565,Loc10,473.49699999999996,131.69799999999998
6709,11100220,Loc10,473.75,131.58
6729,11133238,Loc10,474.726,130.968
6749,11166494,Loc10,475.66,130.644
6769,11199954,Loc10,476.61400000000003,130.208
6789,11233290,Loc10,477.565,129.56799999999998
6809,11266611,Loc10,478.291,129.061
6829,11299885,Loc10,479.05400000000003,128.55700000000002
6849,11333289,Loc10,479.82199999999995,127.985
6869,11367127,Loc10,480.42699999999996,127.506
6889,11400036,Loc10,481.17800000000005,127.006
6909,11433222,Loc10,481.88199999999995,126.38799999999999
6929,11466934,Loc10,482.653,125.708
6949,11500265,Loc10,483.50800000000004,125.074
6969,11533926,Loc10,484.079,124.655
6989,11566866,Loc10,484.779,124.235
7009,11600299,Loc10,485.38800000000003,123.947
7029,11633233,Loc10,485.945,123.75399999999999
7049,11667048,Loc10,486.417,123.65799999999999
7069,11700322,Loc10,486.619,123.682
7089,11733556,Loc10,487.295,123.458
7109,11767429,Loc10,488.027,123.324
7129,11800313,Loc10,488.599,123.167
7149,11833978,Loc10,489.11300000000006,123.044
7169,11866945,Loc10,489.767,122.87200000000001
7189,11900039,Loc10,490.38300000000004,122.684
7209,11934234,Loc10,490.89099999999996,122.525
7229,11966567,Loc10,491.903,122.38600000000001
7249,12000324,Loc10,492.435,122.45700000000001
7269,12033635,Loc10,493.54900000000004,122.382
7289,12066755,Loc10,494.494,122.25200000000001
7309,12100340,Loc10,495.409,122.10799999999999
7329,12133247,Loc10,496.48800000000006,121.89
7349,12166935,Loc10,497.569,121.59100000000001
7369,12200578,Loc10,498.17400000000004,121.375
7389,12233240,Loc10,498.96,121.094
7409,12266586,Loc10,499.73699999999997,120.837
7429,12300368,Loc10,500.435,120.64200000000001
7449,12333302,Loc10,501.115,120.65700000000001
7469,12366639,Loc10,502.10699999999997,120.726
7489,12400314,Loc10,502.741,120.84299999999999
7509,12433493,Loc10,503.273,120.925
7529,12466629,Loc10,504.11800000000005,120.906
7549,12500381,Loc10,504.80300000000005,121.057
7569,12534537,Loc10,505.288,121.03
7589,12566989,Loc10,505.81800000000004,121.09899999999999
7609,12600217,Loc10,506.26599999999996,121.212
7629,12633527,Loc10,506.99,121.204
7649,12666637,Loc10,507.37699999999995,121.321
7669,12700033,Loc10,507.952,121.43299999999999
7689,12733760,Loc10,508.649,121.50299999999999
7709,12766782,Loc10,509.028,121.632
7729,12800413,Loc10,509.592,121.749
7749,12833313,Loc10,510.36699999999996,121.921
7769,12866951,Loc10,511.119,122.05799999999999
7789,12899876,Loc10,511.668,122.288
7809,12933182,Loc10,511.978,122.426
7829,12967433,Loc10,512.556,122.508
7849,13000133,Loc10,513.1569999999999,122.641
7869,13033258,Loc10,513.71,122.79799999999999
7889,13067002,Loc10,514.196,122.976
7909,13100271,Loc10,514.804,123.139
7929,13133262,Loc10,515.095,123.277
7949,13166799,Loc10,515.5509999999999,123.572
7969,13199941,Loc10,516.065,123.82600000000001
7989,13233334,Loc10,516.62,124.024
8009,13266595,Loc10,517.118,124.21700000000001
8029,13300519,Loc10,517.561,124.553
8049,13334024,Loc10,517.887,124.794
8069,13366849,Loc10,518.298,124.921
8089,13400393,Loc10,518.735,125.029
8109,13433822,Loc10,518.992,125.12200000000001
8129,13466917,Loc10,519.38,125.21799999999999
8149,13500387,Loc10,519.78,125.353
8169,13533502,Loc10,519.984,125.581
8189,13567223,Loc10,520.2090000000001,125.78299999999999
8209,13600134,Loc10,520.5790000000001,125.90899999999999
8229,13633920,Loc10,520.6080000000001,126.083
8249,13667015,Loc10,520.7719999999999,126.255
8269,13700399,Loc10,520.677,126.40100000000001
8289,13733278,Loc10,520.794,126.536
8309,13766993,Loc10,520.92,126.667
8329,13800625,Loc10,521.4580000000001,127.01299999999999
8349,13833265,Loc10,522.0840000000001,127.162
8369,13866877,Loc10,522.6030000000001,127.331
8389,13900226,Loc10,523.243,127.63600000000001
8409,13933263,Loc10,523.987,127.899
8429,13966679,Loc10,524.529,127.51100000000001
8449,14000006,Loc10,524.744,127.387
8469,14033809,Loc10,525.009,127.493
8489,14066943,Loc10,525.0930000000001,127.65100000000001
8509,14100052,Loc10,525.2080000000001,127.816
8529,14133341,Loc10,525.2130000000001,127.906
8549,14166701,Loc10,525.253,127.936
8569,14199999,Loc10,525.1419999999999,128.158
8589,14233646,Loc10,524.7919999999999,128.60399999999998
8609,14266676,Loc10,525.113,128.803
8629,14300347,Loc10,524.993,128.91299999999998
8649,14333385,Loc10,524.9630000000001,129.034
8669,14367080,Loc10,525.001,129.04
8689,14400405,Loc10,525.177,129.093
8709,14433330,Loc10,525.112,129.116
8729,14467269,Loc10,525.239,129.171
8749,14499952,Loc10,525.346,129.17
8769,14533275,Loc10,525.418,129.27100000000002
8789,14566677,Loc10,525.349,129.234
8809,14600453,Loc10,525.381,129.395
8829,14633342,Loc10,525.669,129.54
8849,14666962,Loc10,525.869,129.737
8869,14700549,Loc10,526.716,130.204
8889,14733299,Loc10,527.3969999999999,130.406
8909,14767088,Loc10,528.431,130.697
8929,14800396,Loc10,529.564,130.765
8949,14833878,Loc10,530.224,131.14
8969,14866675,Loc10,531.135,131.82299999999998
8989,14900012,Loc10,531.63,132.341
9009,14933601,Loc10,531.93,132.781
9029,14966620,Loc10,532.508,133.697
9049,14999975,Loc10,533.052,134.533
9069,15033274,Loc10,533.4490000000001,135.0
9089,15067399,Loc10,534.13,135.787
9109,15100417,Loc10,534.832,136.524
9129,15133958,Loc10,535.663,137.159
9149,15166659,Loc10,536.382,137.98
9169,15200147,Loc10,536.837,138.33700000000002
9189,15233298,Loc10,537.396,139.254
9209,15266646,Loc10,537.9169999999999,140.035
9229,15300003,Loc10,538.264,140.509
9249,15333270,Loc10,538.378,141.023
9269,15367123,Loc10,538.341,141.408
9289,15400322,Loc10,538.3340000000001,142.241
9309,15433254,Loc10,538.139,143.483
9329,15466638,Loc10,538.256,144.254
9349,15500394,Loc10,538.9630000000001,145.97
9369,15533445,Loc10,539.805,147.355
9389,15566972,Loc10,540.663,148.694
9409,15600472,Loc10,541.182,149.803
9429,15633788,Loc10,541.631,150.537
9449,15666641,Loc10,542.314,151.517
9469,15700417,Loc10,542.77,152.048
9489,15733739,Loc10,543.089,153.106
9509,15766856,Loc10,543.387,154.14700000000002
9529,15800508,Loc10,543.714,155.42600000000002
9549,15833850,Loc10,544.06,156.74200000000002
9569,15866892,Loc10,543.6,157.836
9589,15900378,Loc10,543.504,158.541
9609,15933304,Loc10,543.761,159.328
9629,15967057,Loc10,543.472,159.907
9649,16000733,Loc10,543.746,161.315
9669,16033309,Loc10,544.187,162.719
9689,16067003,Loc10,544.341,163.71200000000002
9709,16100393,Loc10,544.511,164.757
9729,16133674,Loc10,544.405,165.372
9749,16167463,Loc10,544.44,166.21400000000003
9769,16200316,Loc10,544.3430000000001,167.149
9789,16233244,Loc10,544.516,168.03099999999998
9809,16266664,Loc10,544.374,168.67
9829,16300387,Loc10,544.008,168.80900000000003
9849,16333899,Loc10,543.94,169.15
9869,16366708,Loc10,543.888,169.157
9889,16400318,Loc10,543.8380000000001,169.169
9909,16433665,Loc10,543.811,169.172
9929,16466630,Loc10,543.931,169.28900000000002
9949,16500037,Loc10,543.9490000000001,169.33700000000002
9969,16533734,Loc10,543.9159999999999,169.45
9989,16567170,Loc10,543.836,169.588
10009,16600370,Loc10,543.628,169.607
10029,16633736,Loc10,543.554,169.696
10049,16667467,Loc10,543.4580000000001,169.858
10069,16699999,Loc10,543.464,170.041
10089,16733321,Loc10,543.552,170.229
10109,16766983,Loc10,543.6669999999999,170.477
10129,16800503,Loc10,543.8009999999999,170.567
10149,16833319,Loc10,543.6709999999999,170.68599999999998
10169,16866655,Loc10,543.99,170.81900000000002
10189,16900421,Loc10,543.826,170.79
10209,16933258,Loc10,543.889,170.75599999999997
10229,16966915,Loc10,544.0,170.71900000000002
10249,16999999,Loc10,544.009,170.857
10269,17033345,Loc10,544.04,170.998
10289,17066712,Loc10,543.987,171.088
10309,17100216,Loc10,544.044,171.149
10329,17133955,Loc10,544.029,171.19299999999998
10349,17167092,Loc10,544.0219999999999,171.253
10369,17200856,Loc10,544.0,171.287
10389,17233771,Loc10,543.877,171.33
10409,17266715,Loc10,543.905,171.47400000000002
10429,17300409,Loc10,543.979,171.4
10449,17333323,Loc10,544.0840000000001,171.46900000000002
10469,17367152,Loc10,544.33,171.31400000000002
10489,17399932,Loc10,544.021,171.475
10509,17433326,Loc10,544.08,171.40900000000002
10529,17466887,Loc10,544.0319999999999,171.50799999999998
10549,17500465,Loc10,544.112,171.486
10569,17533259,Loc10,543.957,171.487
10589,17567068,Loc10,544.026,171.28900000000002
10609,17600404,Loc10,544.003,171.459
10629,17633338,Loc10,544.183,171.37400000000002
10649,17666676,Loc10,544.2909999999999,171.299
10669,17700315,Loc10,544.222,171.35299999999998
10689,17733629,Loc10,544.288,171.297
10709,17767360,Loc10,544.121,171.22400000000002
10729,17800247,Loc10,544.185,171.197
10749,17834521,Loc10,544.23,171.168
10769,17867272,Loc10,544.2769999999999,171.12599999999998
10789,17900275,Loc10,544.265,171.15200000000002
10809,17933817,Loc10,544.294,171.18400000000003
10829,17967025,Loc10,544.249,171.14
10849,18000120,Loc10,544.405,171.105
10869,18033580,Loc10,544.241,171.136
10889,18067177,Loc10,544.2909999999999,171.11
10909,18100433,Loc10,544.09,171.169
10929,18133743,Loc10,544.323,171.137
10949,18167049,Loc10,544.321,171.15900000000002
10969,18200165,Loc10,544.243,171.025
10989,18234162,Loc10,544.321,171.197
11009,18267128,Loc10,544.403,171.237
11029,18300350,Loc10,544.442,171.278
11049,18333959,Loc10,544.309,171.33
11069,18366972,Loc10,544.457,171.356
11089,18400280,Loc10,544.446,171.322
11109,18433334,Loc10,544.369,171.373
11129,18466608,Loc10,544.126,171.41099999999997
11149,18500688,Loc10,543.984,171.595
11169,18533578,Loc10,543.23,172.157
11189,18566795,Loc10,542.919,173.00400000000002
11209,18600133,Loc10,542.151,173.701
11229,18633813,Loc10,541.547,174.815
11249,18667036,Loc10,541.24,175.613
11269,18700319,Loc10,540.806,176.53599999999997
11289,18733718,Loc10,540.455,177.46099999999998
11309,18766912,Loc10,540.097,178.34599999999998
11329,18800022,Loc10,539.93,179.55
11349,18833409,Loc10,539.762,180.143
11369,18867289,Loc10,539.877,180.842
11389,18900122,Loc10,539.98,181.763
11409,18934420,Loc10,540.023,181.947
11429,18967042,Loc10,539.758,182.011
11449,19000588,Loc10,539.737,182.25099999999998
11469,19033378,Loc10,539.705,182.33
11489,19067109,Loc10,539.521,182.33900000000003
11509,19100342,Loc10,539.501,182.356
11529,19133356,Loc10,539.316,182.143
11549,19166952,Loc10,539.0319999999999,182.22099999999998
11569,19200522,Loc10,538.971,182.40200000000002
11589,19233307,Loc10,538.933,182.864
11609,19266694,Loc10,539.058,183.19299999999998
11629,19300417,Loc10,538.888,183.62599999999998
11649,19334562,Loc10,538.685,183.71599999999998
11669,19367288,Loc10,538.376,184.02900000000002
11689,19400099,Loc10,538.0369999999999,184.47099999999998
11709,19433771,Loc10,537.876,184.729
11729,19466759,Loc10,537.759,185.013
11749,19500140,Loc10,537.656,185.31400000000002
11769,19533430,Loc10,537.502,185.825
11789,19567177,Loc10,537.357,186.15099999999998
11809,19600141,Loc10,537.148,186.65400000000002
11829,19633709,Loc10,536.859,187.278
11849,19667553,Loc10,536.596,187.965
11869,19700451,Loc10,536.312,188.563
11889,19733374,Loc10,535.786,189.702
11909,19767088,Loc10,535.247,190.75
11929,19800336,Loc10,534.614,191.829
11949,19833382,Loc10,533.827,192.887
11969,19866709,Loc10,533.054,193.93900000000002
11989,19900439,Loc10,532.0930000000001,194.96599999999998
12009,19933373,Loc10,531.565,195.489
12029,19967352,Loc10,530.5509999999999,196.12
12049,20000315,Loc10,530.007,196.463
12069,20033591,Loc10,529.38,196.80599999999998
12089,20066828,Loc10,528.749,197.25900000000001
12109,20100108,Loc10,528.465,197.433
12129,20133880,Loc10,528.03,197.673
